43 14
136 187
132 31
1 175
35 221
247 40
166 79
166 78
60 37
89 17
151 134
73 161
48 81
207 15
159 189
231 183
197 137
69 4
211 171
253 18
235 85
146 67
195 59
10 141
50 159
146 65
92 7
51 69
28 68
145 155
108 118
37 36
177 124
114 97
249 119
158 22
32 232
135 20
12 212
150 222
2 85
17 31
161 12
178 35
54 58
140 88
206 103
64 193
183 103
136 188
195 58
119 165
135 21
182 191
101 229
119 164
234 174
102 140
225 206
75 238
171 146
36 125
214 161
237 162
160 100
53 147
100 63
97 74
148 145
118 254
255 97
2 86
239 241
190 248
203 115
99 151
201 36
248 208
220 138
104 218
147 234
227 27
22 90
86 27
39 113
172 56
117 86
41 191
111 107
189 81
57 48
62 114
38 210
239 240
66 16
212 82
179 202
31 58
36 132
10 134
90 183
45 91
202 203
199 214
153 211
7 152
142 165
164 1
184 13
83 39
198 47
149 56
134 109
148 144
221 50
48 80
29 243
246 130
26 254
192 70
9 231
14 34
223 128
54 59
110 196
79 139
144 244
106 40
6 234
73 160
75 239
143 76
177 123
156 201
94 84
27 157
70 172
68 94
117 87
51 70
233 5
80 50
233 6
188 170
116 174
59 127
3 253
129 43
0 7
95 252
83 38
180 114
65 104
202 204
118 252
8 64
151 133
216 239
206 105
124 232
110 197
208 182
126 53
52 237
40 24
194 147
76 149
157 111
162 179
11 45
81 216
230 16
201 37
160 101
86 28
89 16
229 106
179 203
31 57
147 233
120 74
33 136
106 41
178 34
146 66
96 162
5 67
196 225
222 217
97 73
159 190
100 62
205 194
184 14
56 136
213 250
105 129
80 49
34 54
74 72
169 67
228 194
57 47
224 39
165 167
24 168
123 65
141 255
24 176
16 120
96 163
205 192
21 187
238 74
14 42
7 145
150 223
55 226
152 45
72 250
255 96
53 148
37 43
153 212
3 245
122 153
47 170
35 214
242 229
200 126
34 47
194 148
208 183
172 57
158 23
236 252
189 80
71 82
147 232
138 9
40 25
113 185
94 85
210 5
1 174
168 157
58 215
218 61
44 180
127 220
91 94
234 172
123 64
213 249
244 51
90 185
101 230
59 126
6 241
114 96
240 151
132 32
190 247
203 114
62 116
104 219
20 12
11 53
234 173
68 93
103 51
78 227
115 8
43 14
136 187
132 31
1 175
35 221
247 40
166 79
166 78
60 37
89 17
151 134
73 161
48 81
207 15
159 189
231 183
197 137
69 4
211 171
253 18
235 85
146 67
195 59
10 141
50 159
146 65
92 7
