0 0
20 0
40 0
60 0
80 0
100 0
120 0
140 0
160 0
180 0
200 0
220 0
240 2
260 5
280 24
300 80
320 164
340 272
360 400
380 544
400 593
420 727
440 697
460 731
480 717
500 716
520 624
540 582
560 513
580 432
600 354
620 329
640 241
660 205
680 183
700 149
720 119
740 107
760 85
780 71
800 48
820 53
840 40
860 29
880 31
900 24
920 23
940 22
960 16
980 5
1000 14
1020 3
1040 5
1060 8
1080 5
1100 1
1120 0
1140 2
1160 1
1180 2
1200 1
1220 0
1240 1
1260 0
1280 0
1300 0
1320 0
1340 0
1360 0
1380 0
1400 0
1420 0
1440 0
1460 0
1480 0
1500 0
1520 0
1540 0
1560 0
1580 0
1600 0
1620 0
1640 0
1660 0
1680 0
1700 0
1720 0
1740 0
1760 0
1780 0
1800 0
1820 0
1840 0
1860 0
1880 0
1900 0
1920 0
1940 0
1960 0
1980 0
2000 0
